,Instrument,Country of Headquarters,Region of Headquarters,NAICS National Industry Name,NAICS Industry Group Name,NAICS Sector Name,GICS Sub-Industry Name,GICS Industry Name,ICB Industry name,ICB Sector name,GICS Industry Group Name,SIC Industry Name,TRBC Industry Name,TRBC Industry Group Name,TRBC Business Sector Name,TRBC Economic Sector Name,TSE33 Main sector name,NAICS Subsector Name,key
0,DK0010244508,Denmark,Europe,Deep Sea Freight Transportation,"Deep Sea, Coastal, and Great Lakes Water Transportation",Transportation and Warehousing,Marine,Marine,Industrials,Industrial Transportation,Transportation,,Marine Freight & Logistics,Freight & Logistics Services,Transportation,Industrials,,Water Transportation,DK0010244508
0,DE000A1TNNN5,Germany,Europe,Paper Bag and Coated and Treated Paper Manufacturing,Converted Paper Product Manufacturing,Manufacturing,Home Furnishings,Household Durables,Consumer Discretionary,Household Goods and Home Construction,Consumer Durables & Apparel,,Home Furnishings,Household Goods,Cyclical Consumer Products,Consumer Cyclicals,,Paper Manufacturing,DE000A1TNNN5
0,CA0002551095,Canada,Americas,Full-Service Restaurants,Restaurants and Other Eating Places,Accommodation and Food Services,Restaurants,"Hotels, Restaurants & Leisure",Consumer Discretionary,Travel and Leisure,Consumer Services,,Restaurants & Bars,Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,,Food Services and Drinking Places,CA0002551095
0,CNE100002RY5,China,Asia,Residential Property Managers,Activities Related to Real Estate,Real Estate and Rental and Leasing,Real Estate Operating Companies,Real Estate Management & Development,Real Estate,Real Estate Investment and Services Development,Real Estate,,Real Estate Services,Real Estate Operations,Real Estate,Real Estate,,Real Estate,CNE100002RY5
0,US00181T1079,United States of America,Americas,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",Miscellaneous Durable Goods Merchant Wholesalers,Wholesale Trade,Specialized Finance,Diversified Financial Services,Consumer Discretionary,Retailers,Diversified Financials,"Jewelry, Watches, Precious Stones, and Precious Metals",Non-Gold Precious Metals & Minerals,Metals & Mining,Mineral Resources,Basic Materials,,"Merchant Wholesalers, Durable Goods",US00181T1079
0,SE0009268154,Sweden,Europe,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufactur","Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Aerospace & Defense,Aerospace & Defense,Telecommunications,Telecommunications Equipment,Capital Goods,,Aerospace & Defense,Aerospace & Defense,Industrial Goods,Industrials,,Computer and Electronic Product Manufacturing,SE0009268154
0,KYG2953R1149,China,Asia,Other Electronic Component Manufacturing,Semiconductor and Other Electronic Component Manufacturing,Manufacturing,Electronic Manufacturing Services,"Electronic Equipment, Instruments & Components",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,,Electronic Equipment & Parts,Electronic Equipment & Parts,Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,KYG2953R1149
0,SE0011337708,Sweden,Europe,Fats and Oils Refining and Blending,Grain and Oilseed Milling,Manufacturing,Packaged Foods & Meats,Food Products,Consumer Staples,Food Producers,"Food, Beverage & Tobacco",,Food Processing,Food & Tobacco,Food & Beverages,Consumer Non-Cyclicals,,Food Manufacturing,SE0011337708
0,NL0000852564,Netherlands,Europe,Fabricated Pipe and Pipe Fitting Manufacturing,Other Fabricated Metal Product Manufacturing,Manufacturing,Industrial Machinery,Machinery,Industrials,Electronic and Electrical Equipment,Capital Goods,,Industrial Machinery & Equipment,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,Fabricated Metal Product Manufacturing,NL0000852564
0,QA000A0NCQB1,Qatar,Asia,Ready-Mix Concrete Manufacturing,Cement and Concrete Product Manufacturing,Manufacturing,Industrial Conglomerates,Industrial Conglomerates,Industrials,General Industrials,Capital Goods,,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Goods Conglomerates,Consumer Non-Cyclicals,,Nonmetallic Mineral Product Manufacturing,QA000A0NCQB1
0,US0003602069,United States of America,Americas,Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipmen,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",Manufacturing,Building Products,Building Products,Industrials,Construction and Materials,Capital Goods,Air- Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment,Electrical Components & Equipment,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,Machinery Manufacturing,US0003602069
0,US0003611052,United States of America,Americas,Other Support Activities for Air Transportation,Support Activities for Air Transportation,Transportation and Warehousing,Aerospace & Defense,Aerospace & Defense,Industrials,Aerospace and Defense,Capital Goods,,Aerospace & Defense,Aerospace & Defense,Industrial Goods,Industrials,,Support Activities for Transportation,US0003611052
0,DE0005408116,Germany,Europe,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,DE0005408116
0,US00258W1080,United States of America,Americas,Consumer Electronics and Appliances Rental,Consumer Goods Rental,Real Estate and Rental and Leasing,Homefurnishing Retail,Specialty Retail,Consumer Discretionary,Consumer Services,Retailing,"Equipment Rental and Leasing, Not Elsewhere Classified",Consumer Lending,Banking Services,Banking & Investment Services,Financials,,Rental and Leasing Services,US00258W1080
0,GB00B9GQVG73,United Kingdom,Europe,Other Measuring and Controlling Device Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Auto Parts & Equipment,Auto Components,Industrials,Industrial Engineering,Automobiles & Components,,"Auto, Truck & Motorcycle Parts",Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,,Computer and Electronic Product Manufacturing,GB00B9GQVG73
0,FR0010557264,France,Europe,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and",Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",FR0010557264
0,AU000000ABP9,Australia,Oceania,Lessors of Nonresidential Buildings (except Miniwarehouses),Lessors of Real Estate,Real Estate and Rental and Leasing,Diversified REITs,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate Investment Trusts,Real Estate,,Diversified REITs,Residential & Commercial REITs,Real Estate,Real Estate,,Real Estate,AU000000ABP9
0,CH0012221716,Switzerland,Europe,"Power, Distribution, and Specialty Transformer Manufacturing",Electrical Equipment Manufacturing,Manufacturing,Electrical Components & Equipment,Electrical Equipment,Industrials,Electronic and Electrical Equipment,Capital Goods,,Heavy Electrical Equipment,"Machinery, Tools, Heavy Vehicles, Trains & Ships",Industrial Goods,Industrials,,"Electrical Equipment, Appliance, and Component Manufacturing",CH0012221716
0,US0028241000,United States of America,Americas,Electromedical and Electrotherapeutic Apparatus Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Health Care Equipment,Health Care Equipment & Supplies,Health Care,Medical Equipment and Services,Health Care Equipment & Services,Pharmaceutical Preparations,"Medical Equipment, Supplies & Distribution",Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,,Computer and Electronic Product Manufacturing,US0028241000
0,US00287Y1091,United States of America,Americas,Pharmaceutical Preparation Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Biotechnology,Biotechnology,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceutical Preparations,Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,US00287Y1091
0,FR0004040608,France,Europe,Portfolio Management and Investment Advice,Other Financial Investment Activities,Finance and Insurance,Specialized Finance,Diversified Financial Services,Financials,Investment Banking and Brokerage Services,Diversified Financials,,Investment Management & Fund Operators,Investment Banking & Investment Services,Banking & Investment Services,Financials,,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",FR0004040608
0,CA00076T1057,Canada,Americas,Other Motor Vehicle Parts Manufacturing,Motor Vehicle Parts Manufacturing,Manufacturing,Auto Parts & Equipment,Auto Components,Consumer Discretionary,Automobiles and Parts,Automobiles & Components,,"Auto, Truck & Motorcycle Parts",Automobiles & Auto Parts,Automobiles & Auto Parts,Consumer Cyclicals,,Transportation Equipment Manufacturing,CA00076T1057
0,JP3152740001,Japan,Asia,Shoe Retailers,Shoe Retailers,Retail Trade,Apparel Retail,Specialty Retail,Consumer Discretionary,Retailers,Retailing,,Apparel & Accessories Retailers,Specialty Retailers,Retailers,Consumer Cyclicals,Trade,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",JP3152740001
0,GB00B6774699,United Kingdom,Europe,In-Vitro Diagnostic Substance Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Biotechnology,Biotechnology,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences","Biological Products, Except Diagnostic Substances",Pharmaceuticals,Pharmaceuticals,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,GB00B6774699
0,SA1230K1UGH7,Saudi Arabia,Asia,Supermarkets and Other Grocery Retailers (except Convenience Retailers),Grocery and Convenience Retailers,Retail Trade,Hypermarkets & Super Centers,Food & Staples Retailing,Consumer Staples,"Personal Care, Drug and Grocery Stores",Food & Staples Retailing,,Food Retail & Distribution,Food & Drug Retailing,Food & Drug Retailing,Consumer Non-Cyclicals,,Food and Beverage Retailers,SA1230K1UGH7
0,ES0105200416,Spain,Europe,Industrial Building Construction,Nonresidential Building Construction,Construction,Construction & Engineering,Construction & Engineering,Energy,Alternative Energy,Capital Goods,Engineering Services,Construction & Engineering,Construction & Engineering,Industrial & Commercial Services,Industrials,,Construction of Buildings,ES0105200416
0,US0028962076,United States of America,Americas,Clothing and Clothing Accessories Retailers,Clothing and Clothing Accessories Retailers,Retail Trade,Apparel Retail,Specialty Retail,Consumer Discretionary,Retailers,Retailing,Family Clothing Stores,Apparel & Accessories Retailers,Specialty Retailers,Retailers,Consumer Cyclicals,,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",US0028962076
0,GB0000066554,United Kingdom,Europe,Other Financial Vehicles,Other Investment Pools and Funds,Finance and Insurance,,,Financials,Closed End Investments,,,UK Investment Trusts,Collective Investments,Collective Investments,Financials,,"Funds, Trusts, and Other Financial Vehicles",GB0000066554
0,US0036541003,United States of America,Americas,Surgical and Medical Instrument Manufacturing,Medical Equipment and Supplies Manufacturing,Manufacturing,,,Health Care,Medical Equipment and Services,,Surgical and Medical Instruments and Apparatus,Advanced Medical Equipment & Technology,Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,,Miscellaneous Manufacturing,US0036541003
0,SE0002575340,Sweden,Europe,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and",Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Biotechnology,Biotechnology,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",SE0002575340
0,US0009571003,United States of America,Americas,Janitorial Services,Services to Buildings and Dwellings,Administrative and Support and Waste Management and Remediation Services,Environmental & Facilities Services,Commercial Services & Supplies,Industrials,Industrial Support Services,Commercial  & Professional Services,,Business Support Services,Professional & Commercial Services,Industrial & Commercial Services,Industrials,,Administrative and Support Services,US0009571003
0,NL0011540547,Netherlands,Europe,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Diversified Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,NL0011540547
0,DE0005760029,Germany,Europe,Turbine and Turbine Generator Set Units Manufacturing,"Engine, Turbine, and Power Transmission Equipment Manufacturing",Manufacturing,Independent Power Producers & Energy Traders,Independent Power and Renewable Electricity Producers,,,Utilities,,Renewable Energy Equipment & Services,Renewable Energy,Renewable Energy,Energy,,Machinery Manufacturing,DE0005760029
0,PHY0001Z1040,Philippines,Asia,Hydroelectric Power Generation,"Electric Power Generation, Transmission and Distribution",Utilities,Industrial Conglomerates,Industrial Conglomerates,Industrials,General Industrials,Capital Goods,,Electric Utilities,Electric Utilities & IPPs,Utilities,Utilities,,Utilities,PHY0001Z1040
0,PHY0005M1090,Philippines,Asia,Hydroelectric Power Generation,"Electric Power Generation, Transmission and Distribution",Utilities,Independent Power Producers & Energy Traders,Independent Power and Renewable Electricity Producers,Utilities,Electricity,Utilities,,Independent Power Producers,Electric Utilities & IPPs,Utilities,Utilities,,Utilities,PHY0005M1090
0,DE000A3CNK42,Germany,Europe,All Other Miscellaneous Retailers,Other Miscellaneous Retailers,Retail Trade,Internet & Direct Marketing Retail,Internet & Direct Marketing Retail,Consumer Discretionary,Retailers,Retailing,,Department Stores,Diversified Retail,Retailers,Consumer Cyclicals,,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",DE000A3CNK42
0,US0038303048,United States of America,Americas,Crude Petroleum Extraction,Oil and Gas Extraction,"Mining, Quarrying, and Oil and Gas Extraction",Oil & Gas Exploration & Production,"Oil, Gas & Consumable Fuels",Energy,"Oil, Gas and Coal",Energy,Crude Petroleum and Natural Gas,Oil & Gas Exploration and Production,Oil & Gas,Energy - Fossil Fuels,Energy,,Oil and Gas Extraction,US0038303048
0,GB00BF8Q6K64,United Kingdom,Europe,Portfolio Management and Investment Advice,Other Financial Investment Activities,Finance and Insurance,Asset Management & Custody Banks,Capital Markets,Financials,Investment Banking and Brokerage Services,Diversified Financials,,Investment Management & Fund Operators,Investment Banking & Investment Services,Banking & Investment Services,Financials,,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities",GB00BF8Q6K64
0,ZAE000255915,South Africa,Africa,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Diversified Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,ZAE000255915
0,SE0006256558,Sweden,Europe,Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing,"Ventilation, Heating, Air-Conditioning, and Commercial Refrigeration Equipment Manufacturing",Manufacturing,Building Products,Building Products,Industrials,Electronic and Electrical Equipment,Capital Goods,,Environmental Services & Equipment,Professional & Commercial Services,Industrial & Commercial Services,Industrials,,Machinery Manufacturing,SE0006256558
0,TH8906010005,Thailand,Asia,Other Electric Power Generation,"Electric Power Generation, Transmission and Distribution",Utilities,Renewable Electricity,Independent Power and Renewable Electricity Producers,Utilities,Electricity,Utilities,,Electric Utilities,Electric Utilities & IPPs,Utilities,Utilities,,Utilities,TH8906010005
0,CA00386B1094,Canada,Americas,Custom Computer Programming Services,Computer Systems Design and Related Services,"Professional, Scientific, and Technical Services",Systems Software,Software,Technology,Software & Computer Services,Software & Services,,IT Services & Consulting,Software & IT Services,Software & IT Services,Technology,,"Professional, Scientific, and Technical Services",CA00386B1094
0,AEA000201011,United Arab Emirates,Asia,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Diversified Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,AEA000201011
0,AEA000801018,United Arab Emirates,Asia,Commercial Banking,Depository Credit Intermediation,Finance and Insurance,Diversified Banks,Banks,Financials,Banks,Banks,,Banks,Banking Services,Banking & Investment Services,Financials,,Credit Intermediation and Related Activities,AEA000801018
0,PHY1001H1024,Philippines,Asia,Fossil Fuel Electric Power Generation,"Electric Power Generation, Transmission and Distribution",Utilities,Independent Power Producers & Energy Traders,Independent Power and Renewable Electricity Producers,Utilities,Electricity,Utilities,,Independent Power Producers,Electric Utilities & IPPs,Utilities,Utilities,,Utilities,PHY1001H1024
0,CH0329023102,Switzerland,Europe,Research and Development in Biotechnology (except Nanobiotechnology),Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Biotechnology,Biotechnology,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",,Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",CH0329023102
0,US0038813079,United States of America,Americas,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),Real Estate and Rental and Leasing,Specialized Finance,Diversified Financial Services,Industrials,Industrial Support Services,Diversified Financials,Patent Owners and Lessors,Business Support Services,Professional & Commercial Services,Industrial & Commercial Services,Industrials,,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),US0038813079
0,SE0007897079,Sweden,Europe,Elementary and Secondary Schools,Elementary and Secondary Schools,Educational Services,Education Services,Diversified Consumer Services,Consumer Discretionary,Consumer Services,Consumer Services,,Miscellaneous Educational Service Providers,Miscellaneous Educational Service Providers,Academic & Educational Services,Academic & Educational Services,,Educational Services,SE0007897079
0,US00402L1070,United States of America,Americas,Sporting Goods Retailers,"Sporting Goods, Hobby, and Musical Instrument Retailers",Retail Trade,Specialty Stores,Specialty Retail,Consumer Discretionary,Retailers,Retailing,,Apparel & Accessories Retailers,Specialty Retailers,Retailers,Consumer Cyclicals,,"Sporting Goods, Hobby, Musical Instrument, Book, and Miscellaneous Retailers",US00402L1070
0,US00404A1097,United States of America,Americas,Nursing Care Facilities (Skilled Nursing Facilities),Nursing Care Facilities (Skilled Nursing Facilities),Health Care and Social Assistance,Health Care Facilities,Health Care Providers & Services,Health Care,Health Care Providers,Health Care Equipment & Services,"Specialty Outpatient Facilities, Not Elsewhere Classified",Healthcare Facilities & Services,Healthcare Providers & Services,Healthcare Services & Equipment,Healthcare,,Nursing and Residential Care Facilities,US00404A1097
0,US0042251084,United States of America,Americas,Pharmaceutical Preparation Manufacturing,Pharmaceutical and Medicine Manufacturing,Manufacturing,Biotechnology,Biotechnology,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceutical Preparations,Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,Chemical Manufacturing,US0042251084
0,US0042391096,United States of America,Americas,Lessors of Nonresidential Buildings (except Miniwarehouses),Lessors of Real Estate,Real Estate and Rental and Leasing,Retail REITs,Equity Real Estate Investment Trusts (REITs),Real Estate,Real Estate Investment Trusts,Real Estate,Real Estate Investment Trusts,Commercial REITs,Residential & Commercial REITs,Real Estate,Real Estate,,Real Estate,US0042391096
0,CA0042721005,Canada,Americas,Forest Nurseries and Gathering of Forest Products,Forest Nurseries and Gathering of Forest Products,"Agriculture, Forestry, Fishing and Hunting",Forest Products,Paper & Forest Products,Basic Materials,Industrial Materials,Materials,,Forest & Wood Products,Paper & Forest Products,Applied Resources,Basic Materials,,Forestry and Logging,CA0042721005
0,SE0009268717,Sweden,Europe,Electromedical and Electrotherapeutic Apparatus Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Health Care Equipment,Health Care Equipment & Supplies,Health Care,Medical Equipment and Services,Health Care Equipment & Services,,Advanced Medical Equipment & Technology,Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,,Computer and Electronic Product Manufacturing,SE0009268717
0,SE0015960935,Sweden,Europe,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services","Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",Information,Interactive Media & Services,Interactive Media & Services,Technology,Software & Computer Services,Media & Entertainment,,Consumer Publishing,Media & Publishing,Cyclical Consumer Services,Consumer Cyclicals,,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",SE0015960935
0,INE012A01025,India,Asia,Cement Manufacturing,Cement and Concrete Product Manufacturing,Manufacturing,Construction Materials,Construction Materials,Industrials,Construction and Materials,Materials,,Construction Materials,Construction Materials,Mineral Resources,Basic Materials,,Nonmetallic Mineral Product Manufacturing,INE012A01025
0,US00436Q1067,United States of America,Americas,Other Gambling Industries,Gambling Industries,"Arts, Entertainment, and Recreation",Casinos & Gaming,"Hotels, Restaurants & Leisure",Consumer Discretionary,Travel and Leisure,Consumer Services,,Casinos & Gaming,Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,,"Amusement, Gambling, and Recreation Industries",US00436Q1067
0,US00430H1023,United States of America,Americas,Analytical Laboratory Instrument Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Health Care Equipment,Health Care Equipment & Supplies,Health Care,Medical Equipment and Services,Health Care Equipment & Services,Laboratory Analytical Instruments,Advanced Medical Equipment & Technology,Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,,Computer and Electronic Product Manufacturing,US00430H1023
0,CNE100000F87,China,Asia,Other Electronic Component Manufacturing,Semiconductor and Other Electronic Component Manufacturing,Manufacturing,Electronic Components,"Electronic Equipment, Instruments & Components",Telecommunications,Telecommunications Equipment,Technology Hardware & Equipment,,Electronic Equipment & Parts,Electronic Equipment & Parts,Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,CNE100000F87
0,NL0009767532,Netherlands,Europe,"Motorcycle, Bicycle, and Parts Manufacturing",Other Transportation Equipment Manufacturing,Manufacturing,Leisure Products,Leisure Products,Consumer Discretionary,Leisure Goods,Consumer Durables & Apparel,,Recreational Products,Leisure Products,Cyclical Consumer Products,Consumer Cyclicals,,Transportation Equipment Manufacturing,NL0009767532
0,AU000000AX19,Australia,Oceania,Shoe Retailers,Shoe Retailers,Retail Trade,Apparel Retail,Specialty Retail,Consumer Discretionary,Retailers,Retailing,,Apparel & Accessories Retailers,Specialty Retailers,Retailers,Consumer Cyclicals,,"Clothing, Clothing Accessories, Shoe, and Jewelry Retailers",AU000000AX19
0,IE00B4BNMY34,Ireland; Republic of,Europe,Computer Systems Design Services,Computer Systems Design and Related Services,"Professional, Scientific, and Technical Services",IT Consulting & Other Services,IT Services,Industrials,Industrial Support Services,Software & Services,"Business Services, Not Elsewhere Classified",IT Services & Consulting,Software & IT Services,Software & IT Services,Technology,,"Professional, Scientific, and Technical Services",IE00B4BNMY34
0,JP3108060009,Japan,Asia,Software Publishers,Software Publishers,Information,Application Software,Software,Technology,Software & Computer Services,Software & Services,,Software,Software & IT Services,Software & IT Services,Technology,Services,Publishing Industries,JP3108060009
0,GB0001771426,United Kingdom,Europe,Software Publishers,Software Publishers,Information,Application Software,Software,Technology,Software & Computer Services,Software & Services,,Software,Software & IT Services,Software & IT Services,Technology,,Publishing Industries,GB0001771426
0,ES0125220311,Spain,Europe,Other Heavy and Civil Engineering Construction,Other Heavy and Civil Engineering Construction,Construction,Electric Utilities,Electric Utilities,Industrials,Construction and Materials,Utilities,,Construction & Engineering,Construction & Engineering,Industrial & Commercial Services,Industrials,,Heavy and Civil Engineering Construction,ES0125220311
0,US00081T1088,United States of America,Americas,Office Supplies (except Paper) Manufacturing,Other Miscellaneous Manufacturing,Manufacturing,Office Services & Supplies,Commercial Services & Supplies,Consumer Staples,"Personal Care, Drug and Grocery Stores",Commercial  & Professional Services,,Business Support Supplies,Professional & Commercial Services,Industrial & Commercial Services,Industrials,,Miscellaneous Manufacturing,US00081T1088
0,US00437E1029,United States of America,Americas,All Other Miscellaneous Ambulatory Health Care Services,Other Ambulatory Health Care Services,Health Care and Social Assistance,Health Care  Services,Health Care Providers & Services,Health Care,Health Care Providers,Health Care Equipment & Services,"Business Services, Not Elsewhere Classified",Healthcare Facilities & Services,Healthcare Providers & Services,Healthcare Services & Equipment,Healthcare,,Ambulatory Health Care Services,US00437E1029
0,SE0010546242,Sweden,Europe,Semiconductor and Related Device Manufacturing,Semiconductor and Other Electronic Component Manufacturing,Manufacturing,Electronic Components,"Electronic Equipment, Instruments & Components",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,,Electronic Equipment & Parts,Electronic Equipment & Parts,Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,SE0010546242
0,FR0000120404,France,Europe,Hotels (except Casino Hotels) and Motels,Traveler Accommodation,Accommodation and Food Services,"Hotels, Resorts & Cruise Lines","Hotels, Restaurants & Leisure",Consumer Discretionary,Travel and Leisure,Consumer Services,,"Hotels, Motels & Cruise Lines",Hotels & Entertainment Services,Cyclical Consumer Services,Consumer Cyclicals,,Accommodation,FR0000120404
0,GB00BZ6VT592,United Kingdom,Europe,Industrial and Personal Service Paper Merchant Wholesalers,Paper and Paper Product Merchant Wholesalers,Wholesale Trade,Household Products,Household Products,Consumer Staples,"Personal Care, Drug and Grocery Stores",Household & Personal Products,,Personal Products,Personal & Household Products & Services,Personal & Household Products & Services,Consumer Non-Cyclicals,,"Merchant Wholesalers, Nondurable Goods",GB00BZ6VT592
0,TW0002345006,Taiwan,Asia,Telephone Apparatus Manufacturing,Communications Equipment Manufacturing,Manufacturing,Communications Equipment,Communications Equipment,Telecommunications,Telecommunications Equipment,Technology Hardware & Equipment,,Communications & Networking,Communications & Networking,Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,TW0002345006
0,US0043971052,United States of America,Americas,Electromedical and Electrotherapeutic Apparatus Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",Manufacturing,Health Care Equipment,Health Care Equipment & Supplies,Health Care,Medical Equipment and Services,Health Care Equipment & Services,Surgical and Medical Instruments and Apparatus,Advanced Medical Equipment & Technology,Healthcare Equipment & Supplies,Healthcare Services & Equipment,Healthcare,,Computer and Electronic Product Manufacturing,US0043971052
0,CA00440P4096,Canada,Americas,Scheduled Passenger Air Transportation,Scheduled Air Transportation,Transportation and Warehousing,,,Consumer Discretionary,Travel and Leisure,,,Airlines,Passenger Transportation Services,Transportation,Industrials,,Air Transportation,CA00440P4096
0,ID1000125503,Indonesia,Asia,Home Centers,Building Material and Supplies Dealers,Retail Trade,Home Improvement Retail,Specialty Retail,Consumer Discretionary,Retailers,Retailing,,Home Improvement Products & Services Retailers,Specialty Retailers,Retailers,Consumer Cyclicals,,Building Material and Garden Equipment and Supplies Dealers,ID1000125503
0,IT0001207098,Italy,Europe,Electric Power Distribution,"Electric Power Generation, Transmission and Distribution",Utilities,Multi-Utilities,Multi-Utilities,Utilities,Electricity,Utilities,,Multiline Utilities,Multiline Utilities,Utilities,Utilities,,Utilities,IT0001207098
0,TW0002353000,Taiwan,Asia,Electronic Computer Manufacturing,Computer and Peripheral Equipment Manufacturing,Manufacturing,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",Technology,Technology Hardware & Equipment,Technology Hardware & Equipment,,Computer Hardware,"Computers, Phones & Household Electronics",Technology Equipment,Technology,,Computer and Electronic Product Manufacturing,TW0002353000
0,US00444P1084,United States of America,Americas,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and",Scientific Research and Development Services,"Professional, Scientific, and Technical Services",Pharmaceuticals,Pharmaceuticals,Health Care,Pharmaceuticals and Biotechnology,"Pharmaceuticals, Biotechnology & Life Sciences",Pharmaceutical Preparations,Biotechnology & Medical Research,Biotechnology & Medical Research,Pharmaceuticals & Medical Research,Healthcare,,"Professional, Scientific, and Technical Services",US00444P1084
0,ES0132105018,Spain,Europe,Iron and Steel Mills and Ferroalloy Manufacturing,Iron and Steel Mills and Ferroalloy Manufacturing,Manufacturing,Steel,Metals & Mining,Basic Materials,Industrial Metals and Mining,Materials,,Iron & Steel,Metals & Mining,Mineral Resources,Basic Materials,,Primary Metal Manufacturing,ES0132105018
